year,date,salinity.regime,site,transect,live.tot,live.adults,live.juveniles,empty.tot,empty.adult,empty.juv,egg.mass,notes,num.tran
2012,08-May-12,salty,Figurehead,a,17,16,1,0,0,0,0,,4
2012,08-May-12,salty,Figurehead,b,18,17,1,0,0,0,0,,4
2012,08-May-12,salty,Figurehead,c,19,18,1,0,0,0,0,,4
2012,08-May-12,salty,Figurehead,d,7,6,1,0,0,0,0,,4
2012,09-Apr-12,salty,White Rock,a,82,67,15,5,5,0,4,,4
2012,09-Apr-12,salty,White Rock,b,51,42,9,3,2,1,2,,4
2012,09-Apr-12,salty,White Rock,c,47,40,7,3,2,1,7,,4
2012,09-Apr-12,salty,White Rock,d,42,37,5,20,17,3,0,,4
2012,09-May-12,salty,Yellow Point,a,137,83,54,1,0,1,0,,4
2012,09-May-12,salty,Yellow Point,b,93,65,28,1,0,1,3,,4
2012,09-May-12,salty,Yellow Point,c,89,51,38,2,1,1,1,,4
2012,09-May-12,salty,Yellow Point,d,138,83,55,0,0,0,0,,4
2013,24-May-13,fresh,Tower South,a,77,77,0,19,19,0,0,,4
2013,24-May-13,fresh,Tower South,b,59,59,0,5,5,0,0,,4
2013,24-May-13,fresh,Tower South,c,26,26,0,19,18,1,0,,4
2013,24-May-13,fresh,Tower South,d,26,26,0,19,18,1,0,,4
2013,24-May-13,fresh,Tower North,a,0,0,0,0,0,0,0,,4
2013,24-May-13,fresh,Tower North,b,0,0,0,1,1,0,0,,4
2013,24-May-13,fresh,Tower North,c,0,0,0,1,1,0,0,,4
2013,24-May-13,fresh,Tower North,d,0,0,0,0,0,0,0,,4
2013,27-Apr-13,fresh,Dunbar,a,0,0,0,4,4,0,0,,4
2013,27-Apr-13,fresh,Dunbar,b,0,0,0,4,4,0,0,,4
2013,27-Apr-13,fresh,Dunbar,c,0,0,0,5,5,0,0,,4
2013,27-Apr-13,fresh,Dunbar,d,0,0,0,5,5,0,0,,4
2013,27-Apr-13,fresh,Waterloo,a,0,0,0,16,14,2,0,,4
2013,27-Apr-13,fresh,Waterloo,b,0,0,0,30,28,2,0,,4
2013,27-Apr-13,fresh,Waterloo,c,0,0,0,22,18,4,0,,4
2013,27-Apr-13,fresh,Waterloo,d,0,0,0,25,23,2,0,,4
2013,27-Apr-13,fresh,Kits Point,a,0,0,0,4,4,0,0,,4
2013,27-Apr-13,fresh,Kits Point,b,0,0,0,1,1,0,0,,4
2013,27-Apr-13,fresh,Kits Point,c,0,0,0,2,2,0,0,,4
2013,27-Apr-13,fresh,Kits Point,d,0,0,0,5,5,0,0,,4
